,Substance,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO2,ABW,Aruba,1.3862492402966,1.3776782996238,1.5945098655019,1.6538058612115,1.4718663736275,1.7333287950964,1.5852026653477,1.744450205465,1.7746557321959,1.6810621859321,1.6987959869089,1.7101067759011,1.5380275594655,1.5785147784628,1.8265085938666,1.7789659071394,1.7598861003541,1.8520342661334,6.9200093355557,8.4737653276658,8.4449827563326,9.6011126769191,10.554159851401,9.5359066162904,9.8786949538033,10.14207323503,6.5437454104067,9.732647029128,9.5426704938235,9.8772084935558,10.383181915649,10.43443170458,10.400638525737,13.1951743033,13.464396938386,13.685364713445,13.196999870294,13.449815183116,12.636697488216,13.59320726068,13.105221608367,12.411834814196,15.777812762891,15.396213058925,15.566530392827,15.40984813908,15.060231172332,12.49675038594,12.752856722543,13.07983524447,10.751174052247,11.907793066107
1,CO2,AFG,Afghanistan,0.15634780851111,0.15220297539071,0.14637121471003,0.14489876834723,0.17843210577619,0.16184103509116,0.14796346682769,0.17515618366584,0.14660878239572,0.15527601032802,0.15218951057851,0.17382302908792,0.18190292626314,0.24295814478568,0.26808013449034,0.35034650487431,0.34054664666201,0.28466713415006,0.26847392722287,0.24681530130696,0.23760453457924,0.21386440265311,0.12132702468086,0.10775457452121,0.096179540527853,0.08072386787299,0.07592072743012,0.07274370471501,0.071439341069671,0.067283102787936,0.0537300376351,0.047372926099306,0.044822040505139,0.046324594862046,0.039688878657312,0.052496941575415,0.056817814376728,0.076893093579598,0.14905796866198,0.23803271762127,0.28074023365495,0.40119353524122,0.33352001237613,0.26737246528111,0.24471243855281,0.247857618575,0.22033455551625,0.2292494210981,0.25037674293205,0.21722491972289,0.21505007387858,0.21451583023124
2,CO2,AGO,Angola,1.321143427111,1.2325646431576,1.464237963462,1.5625671610734,1.5832515671017,1.4227727873898,0.92613398715726,1.4829404634313,1.6999736105737,1.643735438775,1.6060686047325,1.4339069918169,1.3353251281501,1.3342598997626,1.3028684574289,1.3329008616455,1.3084415882356,1.2973971150267,1.3032198165376,1.2824846536964,0.92825778783986,0.94404987763091,0.94047529024156,0.91121491091871,0.83578270037863,0.91384740879903,1.074295281891,1.093550244561,1.1053743405025,1.1369662704934,1.0105795163925,0.95944343146093,0.91259320034282,0.95862355766626,0.94435643736267,0.81709565721914,0.82590775406761,0.8213824534478,0.89621190770267,0.94558001623559,0.98308269209212,0.98538462040646,0.96376516814355,1.0701594092341,1.1295423293152,1.1699550970729,1.065183336526,0.87730684194802,0.78145379739853,0.79672643770165,0.70233533948778,0.72136830123117
3,CO2,AIA,Anguilla,0.33863684298829,0.33612225457324,0.34821611777296,0.32168447175625,0.35631610545922,0.389806981841,0.36553712397015,0.37940255922613,0.43249569966537,0.47862515687681,0.65840575675261,0.99846209919451,1.0653996249818,0.93116542684823,0.88539923316015,0.55100953208391,0.45885761758298,0.85140734243794,0.76540965185939,0.77193947040138,0.7336722407773,0.87461803588126,0.87996165724073,1.0740552651685,1.3768763625479,1.6726856793612,1.611984907539,1.3164856809257,1.1802013543027,1.0887457058573,1.4030292422813,1.3991169989865,0.92874747258869,1.1735976821067,1.0918137686637,1.0809951273792,0.99298174131078,0.9395231272711,1.1428500891982,1.4862482767326,1.7433725127831,1.8642430554002,1.8418308143455,1.9540186020183,1.9293215767322,1.9167357544748,1.9195259340348,1.9493222273133,1.875905235264,1.8175822545967,1.4905115233116,1.6939146809371
5,CO2,ALB,Albania,2.2386849703333,2.1865408084312,2.4397491261034,2.142180904681,2.2556013643301,2.2455087397093,2.3477819319935,2.4614732123684,2.6517879501828,3.017767135436,3.0075735459304,2.5836894186248,2.6075087836399,2.7393586301528,2.903018118184,2.7193541601905,2.6789613410869,2.6568145150612,2.5638304093776,2.426730014523,2.0274627711875,1.3547295880732,0.74672524142262,0.7131975451912,0.76009807605897,0.67977487177582,0.67957073350241,0.52656133470623,0.63003356979001,1.0045218759633,1.0485633918025,1.1152879676039,1.2957590189044,1.3648270009772,1.436842510786,1.368349464578,1.3666281115768,1.4165806028867,1.4170574594182,1.4630022211405,1.5701052118879,1.7135013828364,1.5665292690929,1.6482966387594,1.7579882907982,1.6816732188704,1.578590236233,1.8247708257071,1.811292390941,1.7147325708508,1.599886478684,1.5594817724395
6,CO2,ANT,Curaçao,101.08020603748,99.820549969695,95.937694545312,105.04453622556,94.378474450742,67.880863353115,72.231373969137,73.380179134244,62.276547600599,61.947913827133,58.655270563698,54.282040743403,49.05052993666,45.674494711546,44.569905251167,29.940429838037,28.657418695929,26.576573663133,23.340159958683,20.093429037375,18.202240007594,18.936013169106,19.771481136812,16.263485790158,18.391184984752,18.59352915001,19.043534972495,38.018816831824,40.031613180906,40.569486817306,42.928218722259,43.816793791579,42.402435397035,42.796646071543,44.641492229567,46.618342260928,45.026537553249,47.613236454043,45.700322351574,41.594869876578,30.045808734201,37.742897458077,33.538085461486,30.249494633568,33.596726709869,33.614861757274,28.547466423046,22.545758841582,17.805889822878,13.599264509917,11.199639726473,12.410512645669
7,CO2,ARE,United Arab Emirates,82.537777756193,91.116853584049,83.299556778437,90.152440725453,76.312657042478,66.102608116381,70.390603218312,61.268287394902,61.694824037642,39.76103498935,39.448840276238,33.943742543952,32.003280959611,29.371062372282,37.920537629927,37.261747948538,34.134246744999,33.374921437085,30.805476598904,32.431854498194,30.589364386042,32.857307882266,29.966494785472,29.867208689326,31.172072367027,31.619903226177,31.476123369165,31.236912876456,30.48586624942,29.855890069407,28.058126435812,30.467995672475,29.54280223277,29.107380609036,28.162621535852,26.766036981758,24.290419411147,22.717334692942,23.845820534222,21.58920528398,20.811201177534,20.342407123741,20.904029863414,21.719227554508,21.743987952979,22.699215211984,22.930875283006,22.200295590731,19.694467696268,20.583251654292,19.294277416806,19.473376263557
8,CO2,ARG,Argentina,3.684171382714,3.6429304400009,3.6604436260553,3.7162168337592,3.6650046157934,3.5067888238676,3.6268793401241,3.7229468643699,3.6416684855576,3.7906432410099,3.6451591670583,3.47638312344,3.3943437218044,3.454322592368,3.3860442972161,3.1112250457936,3.3031310036018,3.4349473510946,3.5048134550185,3.3469499760595,3.075636408813,3.193611005491,3.2194172976523,3.2873794904541,3.3531232218464,3.372036986442,3.6396512564725,3.7228113099065,3.8659209765151,3.8892597382299,3.7625191993194,3.5711404851075,3.3225037916238,3.6483307201722,3.9999461112369,4.0537314214336,4.2486756626694,4.4443281938899,4.5395055291572,4.1368104680758,4.3893404320188,4.5607179266824,4.5555679125512,4.6580119531515,4.558999455406,4.5929868710034,4.5015967468054,4.3879195940086,4.2971584482203,4.0613096450438,3.7763511984141,4.1164356734607
9,CO2,ARM,Armenia,4.309559010998,4.2132696549075,4.4164751230723,4.7000273153,4.9710674449031,5.3515102622528,5.4178684944176,5.5163469650656,5.6203890645924,5.7407388342823,6.0037483186711,6.0352356918964,6.1096436289689,6.0545417498059,5.9972346338721,5.9783229277952,5.9214936522248,5.8930594138647,5.8128358092306,5.6636623857123,5.8509090140468,6.151302017742,3.1964947162463,1.54026259507,0.87827922344274,1.1247813623801,0.84458590865218,1.0955467215848,1.146160167962,1.0358453514448,1.1934691677683,1.2228032244563,1.0542990684103,1.1836779368019,1.2789910208774,1.5250759784219,1.5498361065371,1.8070146274105,1.9951032789346,1.6145153111617,1.5536352637416,1.7730950777097,2.0395474129209,1.9232912354975,1.9118901145906,1.8562118842721,1.7639698316555,1.8611220400252,1.9670029805828,2.1311038112509,2.1699623056291,2.3026542515115
10,CO2,ATG,Antigua and Barbuda,4.7100714020299,4.6346978732827,5.3950375897297,5.5145160255081,4.8448581207046,5.7533379365545,5.197869404877,5.6842420705231,5.7371999426734,5.3945966281627,5.48837672085,4.9074963877935,6.1793543660142,3.9159532415246,5.1343975060851,5.1239268183608,5.1924884038112,6.8052924675562,6.964276618718,6.3654934134198,6.414610700814,6.7023569345436,6.9570386658752,6.3501754116747,6.5063751897351,6.4827559153293,6.3587096689444,6.0304199459817,5.941721631371,6.1292897667807,5.8997549313368,5.769976278386,6.1900223704457,8.1191407679166,8.2168495138037,7.9807015212337,8.0186595392729,8.1742477029135,8.1263614417888,8.9682328368134,9.0500200694126,10.276210279699,10.970402550299,10.889834136339,11.122490704326,10.834558121807,10.853781520518,7.6570559351131,8.2821355610365,8.1339685422065,6.6478930877173,7.3384075847124
